repository,revision,current_site,line,reference_kind,current_reference,consumer_owner,replacement_tt_transformers_contract,compatibility_shim_need,shim_duration,test_gate,cutover_order,external_status
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,.github/workflows/silencer.lock.yml,1602,ci_or_test_path,"""tttv2 modules"",",tt-metal models CI owners,"Install tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); invoke standalone tests/examples or qualification tools from the pinned release checkout, never the removed in-tree path.",no path shim; CI workflow changes atomically,none,CI manifest syntax plus host dry-run and scheduled same-version hardware lane,4-switch-ci-after-consumer-imports,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,.github/workflows/t3000-unit-tests.yaml,13,ci_or_test_path,- tttv2 modules,tt-metal models CI owners,"Install tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); invoke standalone tests/examples or qualification tools from the pinned release checkout, never the removed in-tree path.",no path shim; CI workflow changes atomically,none,CI manifest syntax plus host dry-run and scheduled same-version hardware lane,4-switch-ci-after-consumer-imports,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,.github/workflows/test-command.lock.yml,1333,ci_or_test_path,"""tttv2 modules"",",tt-metal models CI owners,"Install tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); invoke standalone tests/examples or qualification tools from the pinned release checkout, never the removed in-tree path.",no path shim; CI workflow changes atomically,none,CI manifest syntax plus host dry-run and scheduled same-version hardware lane,4-switch-ci-after-consumer-imports,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/common/llm_runtime/tttv2_demo_to_vllm_integration_skill.md,file,qualification_tool_or_contract,models/common/llm_runtime/tttv2_demo_to_vllm_integration_skill.md,tt-metal repository owners,Use tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile) with the corresponding qualification/ path from the exact standalone release; retain tt-metal copy only as a forwarding notice during overlap.,documentation/CLI forwarding notice only,one tt-metal release,standalone qualification host tests and schema validation,4-switch-ci-after-consumer-imports,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/blackhole/qwen36/demo/text_demo.py,462,python_import,models.common.sampling.generator,tt-metal model owner: blackhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/blackhole/qwen36/demo/text_demo.py,831,python_import,models.common.sampling.generator,tt-metal model owner: blackhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/blackhole/qwen36/tests/test_sampling.py,17,python_import,models.common.sampling.generator,tt-metal model owner: blackhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/blackhole/qwen36/tt/model.py,51,python_import,models.common.sampling.generator,tt-metal model owner: blackhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/deepseek_v3/demo/demo.py,17,python_import,models.common.sampling.sampling_params,tt-metal model owner: deepseek_v3,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.sampling_params,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/deepseek_v3/tests/test_sampling.py,12,python_import,models.common.sampling,tt-metal model owner: deepseek_v3,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
