policy_id,source_path,source_line,source_qualname,source_signature,destination_path,removal_status,replacement_identity,approval_evidence,rationale
34cd6e463ebb8ed3603f,models/common/models/llama3_8b/model.py,856,Llama3Transformer1D.forward,"(self, x: ttnn.Tensor, current_pos=None, rot_mats_global=None, rot_mats_local=None, user_id: int=0, mode: str='decode', page_table=None, chunk_page_table=None, chunk_start_idx=None, get_last_token: int=-1, batch_size: int=1, chunk_start_idx_tensor=None, last_token_slice=None, last_token_index=None) -> ttnn.Tensor",src/tt_transformers/models/llama3_8b/model.py,compatibility_removed,src/tt_transformers/models/llama3_8b/model.py::Llama3Transformer1D.prefill_forward + src/tt_transformers/models/llama3_8b/model.py::Llama3Transformer1D.decode_forward,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
2ab79b7228afa8bc3f73,models/common/models/qwen25_coder_32b/demo.py,65,device_params,"(request, galaxy_type)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::resolve_device_params,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
6cbc617aa1dcae159d1a,models/common/models/qwen25_coder_32b/demo.py,85,pytestmark," = [pytest.mark.parametrize('mesh_device', [{'T3K': (1, 8)}.get(os.environ.get('MESH_DEVICE'), len(ttnn.get_device_ids()))], indirect=True), pytest.mark.parametrize('device_params', [{'fabric_config': True}], indirect=True)]",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::<module policy moved to CLI main/open_mesh_device>,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
c8f29169ee4c14d1f1aa,models/common/models/qwen25_coder_32b/demo.py,96,hf_model_id,(),examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::default_hf_model_id,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
ebc78e21ab047dac00a1,models/common/models/qwen25_coder_32b/demo.py,105,test_qwen25_coder_32b_prefill_smoke,"(mesh_device, hf_model_id, seq_len: int, tmp_path_factory)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::run_qwen25_coder_32b_prefill_smoke,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
64587929816878dc7e04,models/common/models/qwen25_coder_32b/demo.py,144,test_qwen25_coder_32b_decode_one_step,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::run_qwen25_coder_32b_decode_one_step,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
24d4418f358059e2ff71,models/common/models/qwen25_coder_32b/demo.py,189,test_qwen25_coder_32b_executor_prefill_smoke,"(mesh_device, hf_model_id, seq_len: int, tmp_path_factory)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::run_qwen25_coder_32b_executor_prefill_smoke,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
5b76827751d2fb8d4ee5,models/common/models/qwen25_coder_32b/demo.py,231,test_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::run_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
984a06e1a45c30cef2da,models/common/models/qwen25_coder_32b/demo.py,300,test_qwen25_coder_32b_eager_traced_prefill_logits_match,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::run_qwen25_coder_32b_eager_traced_prefill_logits_match,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
ba83c5cefd0f4c7879d9,models/common/models/qwen25_coder_32b/demo.py,360,test_qwen25_coder_32b_numerical_divergence_vs_hf,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen25_coder_32b/smoke.py;tests/hardware/models/qwen25_coder_32b/test_smoke.py,relocated_nonpackage,examples/qwen25_coder_32b/smoke.py::run_qwen25_coder_32b_numerical_divergence_vs_hf,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
