package,hf_model_id,default_hf_revision,revision_state,concrete_product,runtime_characterization,runnable_pytest_demo,package_local_demo,reference_artifact,declared_or_code_admitted_geometry,blackhole_contract,status_at_pinned_source
deepseek_r1_distill_qwen_14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1df8507178afcc1bef68cd8c393f61a886323761,pinned,model+hf_adaptor+direct_executor+vllm_generator,generic executor binding,models/common/tests/demos/deepseek_r1_distill_qwen_14b/demo.py,no,models/tt_transformers/tests/reference_outputs/DeepSeek-R1-Distill-Qwen-14B.refpt,"Wormhole N300 TP2/DP1; T3K TP8/DP1 plus TP4/DP2 and TP2/DP4; N150 is enumerated but capacity-skipped",none,"concrete and runnable; source presence is not hardware qualification"
llama32_1b,meta-llama/Llama-3.2-1B-Instruct,,unpinned,model+hf_adaptor+llama-family executor+vllm_generator,generic executor binding,models/common/tests/demos/llama32_1b/demo.py,no,models/tt_transformers/tests/reference_outputs/Llama-3.2-1B-Instruct.refpt,"Wormhole N150 TP1/DP1; N300 TP2/DP1 and TP1/DP2; T3K TP8/DP1 plus TP2/DP4 and TP1/DP8; TP4 lanes deliberately rejected",none,"concrete and runnable; runtime checkpoint revision floats"
llama32_3b,meta-llama/Llama-3.2-3B-Instruct,,unpinned,model+hf_adaptor+llama-family executor+vllm_generator,generic executor binding,models/common/tests/demos/llama32_3b/demo.py,no,models/tt_transformers/tests/reference_outputs/Llama-3.2-3B-Instruct.refpt,"Wormhole N150 TP1/DP1; N300 TP2/DP1 and TP1/DP2; T3K TP8/DP1 plus TP2/DP4 and TP1/DP8; TP4 lanes deliberately rejected",none,"concrete and runnable; runtime checkpoint revision floats"
llama33_70b,meta-llama/Llama-3.3-70B-Instruct,,unpinned,model+hf_adaptor+llama-family executor+vllm_generator,generic executor binding,models/common/tests/demos/llama33_70b/demo.py,no,models/tt_transformers/tests/reference_outputs/Llama-3.3-70B-Instruct.refpt,"Wormhole T3K TP8/DP1; Blackhole logical P150x4 TP4/DP1 on physical P150_X4 or P300_X2; every collected DP>1 case skips",models/tttv2_llama33_70b_bh_required_capabilities.json,"concrete and runnable; BH contract is pre-acceptance and revision is unpinned"
llama3_8b,meta-llama/Llama-3.1-8B-Instruct,,unpinned,model+hf_adaptor+llama-family executor+vllm_generator,dedicated llama3_8b runtime/model contract suites,models/common/tests/demos/llama3_8b/demo.py,no,models/common/tests/demos/llama3_8b/reference_outputs/Llama-3.1-8B-Instruct.refpt,"Wormhole N150/N300/T3K and mapped TG subject to head divisibility; Blackhole P150 TP1/DP1 P300 TP2/DP1 and TP1/DP2 P150x4 TP4/DP1 with code-admitted DP2/TP2 and DP4/TP1",models/tttv2_llama3_8b_bh_required_capabilities.json,"concrete and runnable; BH contract distinguishes required additive and development-stand-in geometries; revision floats"
mistral_7b,mistralai/Mistral-7B-Instruct-v0.3,,explicit_none,model+hf_adaptor+direct_executor+vllm_generator,generic executor binding,models/common/tests/demos/mistral_7b/demo.py,no,models/tt_transformers/tests/reference_outputs/Mistral-7B-Instruct-v0.3.refpt,"Wormhole N150 TP1/DP1 N300 TP2/DP1 T3K TP8/DP1; DP smoke admits N300 TP1/DP2 and T3K TP1/DP8 only",none,"concrete and runnable; runtime checkpoint revision floats"
phi4,microsoft/phi-4,187ef0342fff0eb3333be9f00389385e95ef0b61,pinned,model+hf_adaptor+direct_executor+vllm_generator,generic executor binding,models/common/tests/demos/phi4/demo.py,no,models/tt_transformers/tests/reference_outputs/phi-4.refpt,"Wormhole N300 TP2/DP1; physical T3K may run TP2/DP4; N150 capacity-skips and ordinary T3K/TG TP is head-incompatible",none,"concrete and runnable; no Blackhole contract"
qwen25_72b,Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,pinned,model+hf_adaptor+qwen2-family executor+vllm_generator,generic executor binding,models/common/tests/demos/qwen25_72b/demo.py,no,models/tt_transformers/tests/reference_outputs/Qwen2.5-72B-Instruct.refpt,Wormhole T3K TP8/DP1 only; all DP cases capacity-skip,none,"concrete and runnable; no Blackhole contract"
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,,unpinned,model+hf_adaptor+qwen2-family executor+vllm_generator,generic executor binding,models/common/tests/demos/qwen25_7b/demo.py,no,models/tt_transformers/tests/reference_outputs/Qwen2.5-7B-Instruct.refpt,"Wormhole N300 TP2/DP1; physical T3K TP2/DP4; N150 unsupported and ordinary T3K/TG TP is head-incompatible",none,"concrete and runnable; runtime checkpoint revision floats"
qwen25_coder_32b,Qwen/Qwen2.5-Coder-32B-Instruct,381fc969f78efac66bc87ff7ddeadb7e73c218a7,pinned,model+hf_adaptor+qwen2-family executor+vllm_generator,generic executor binding,models/common/tests/demos/qwen25_coder_32b/demo.py,models/common/models/qwen25_coder_32b/demo.py,models/tt_transformers/tests/reference_outputs/Qwen2.5-Coder-32B-Instruct.refpt,Wormhole T3K TP8/DP1 only; all DP cases capacity-skip,none,"concrete and runnable; package-local demo is an additional diagnostic surface"
